code,name,latitude,longitude,capital
AB,ALBERTA,53.5444,-113.4909,Edmonton
AK,ALASKA,58.3019,-134.4197,Juneau
AL,ALABAMA,32.3792,-86.3077,Montgomery
AR,ARKANSAS,34.7465,-92.2896,Little Rock
AS,AMERICAN SAMOA,-14.271,-170.691,Pago Pago
AZ,ARIZONA,33.4484,-112.074,Phoenix
BC,BRITISH COLUMBIA,48.4284,-123.3656,Victoria
CA,CALIFORNIA,38.5816,-121.4944,Sacramento
CO,COLORADO,39.7392,-104.9903,Denver
CT,CONNECTICUT,41.7637,-72.6851,Hartford
DC,DISTRICT OF COLUMBIA,38.8951,-77.0369,Washington D.C.
DE,DELAWARE,39.1582,-75.5244,Dover
FL,FLORIDA,30.4383,-84.2807,Tallahassee
FM,MICRONESIA,6.9174,158.185,Palikir
GA,GEORGIA,33.749,-84.388,Atlanta
GU,GUAM,13.4751,144.7504,Hagåtña
HI,HAWAII,21.3069,-157.8583,Honolulu
IA,IOWA,41.591,-93.6037,Des Moines
ID,IDAHO,43.615,-116.2023,Boise
IL,ILLINOIS,39.7817,-89.6501,Springfield
IN,INDIANA,39.7684,-86.1581,Indianapolis
KS,KANSAS,39.0473,-95.6752,Topeka
KY,KENTUCKY,38.2009,-84.8733,Frankfort
LA,LOUISIANA,30.4515,-91.1871,Baton Rouge
MA,MASSACHUSETTS,42.3601,-71.0589,Boston
MB,MANITOBA,49.8951,-97.1384,Winnipeg
MD,MARYLAND,38.9784,-76.4922,Annapolis
ME,MAINE,44.3106,-69.7795,Augusta
MH,MARSHALL ISLANDS,7.1164,171.1859,Majuro
MI,MICHIGAN,42.7325,-84.5555,Lansing
MN,MINNESOTA,44.9537,-93.0892,St. Paul
MO,MISSOURI,38.5767,-92.1735,Jefferson City
MP,NORTHERN MARIANA ISLANDS,15.1804,145.7505,Saipan
MS,MISSISSIPPI,32.2988,-90.1848,Jackson
MT,MONTANA,46.5891,-112.0391,Helena
NB,NEW BRUNSWICK,45.9636,-66.6431,Fredericton
NC,NORTH CAROLINA,35.7796,-78.6382,Raleigh
ND,NORTH DAKOTA,46.8083,-100.7837,Bismarck
NE,NEBRASKA,40.8136,-96.7026,Lincoln
NH,NEW HAMPSHIRE,43.2081,-71.5374,Concord
NJ,NEW JERSEY,40.2206,-74.7597,Trenton
NL,NEWFOUNDLAND AND LABRADOR,47.5615,-52.7126,St. John's
NM,NEW MEXICO,35.6869,-105.9378,Santa Fe
NS,NOVA SCOTIA,44.6488,-63.5752,Halifax
NT,NORTHWEST TERRITORIES,62.454,-114.3718,Yellowknife
NU,NUNAVUT,63.7467,-68.519,Iqaluit
NV,NEVADA,39.1638,-119.7674,Carson City
NY,NEW YORK,42.6526,-73.7562,Albany
OH,OHIO,39.9612,-82.9988,Columbus
OK,OKLAHOMA,35.4676,-97.5164,Oklahoma City
ON,ONTARIO,43.6532,-79.3832,Toronto
OR,OREGON,44.9429,-123.0351,Salem
PA,PENNSYLVANIA,40.2732,-76.8867,Harrisburg
PE,PRINCE EDWARD ISLAND,46.2382,-63.1311,Charlottetown
PI,PACIFIC ISLANDS,-21.1619,-175.1817,Nuku'alofa
PR,PUERTO RICO,18.4655,-66.1057,San Juan
PW,PALAU,7.5,134.6248,Ngerulmud
QC,QUEBEC,46.8139,-71.208,Quebec City
RI,RHODE ISLAND,41.8231,-71.4188,Providence
SC,SOUTH CAROLINA,34.0007,-81.0348,Columbia
SD,SOUTH DAKOTA,44.3683,-100.3509,Pierre
SK,SASKATCHEWAN,50.4452,-104.6189,Regina
TN,TENNESSEE,36.1627,-86.7816,Nashville
TX,TEXAS,30.25,-97.75,Austin
UT,UTAH,40.7608,-111.891,Salt Lake City
VA,VIRGINIA,37.5407,-77.436,Richmond
VI,VIRGIN ISLANDS,18.3419,-64.9307,Charlotte Amalie
VT,VERMONT,44.2601,-72.5762,Montpelier
WA,WASHINGTON,47.0379,-122.9007,Olympia
WI,WISCONSIN,43.0731,-89.4012,Madison
WV,WEST VIRGINIA,38.3498,-81.6326,Charleston
WY,WYOMING,41.1399,-104.8202,Cheyenne
YT,YUKON TERRITORY,60.7212,-135.0568,Whitehorse